dataset,operator,model,dim,fold_count,mean,std,var,fold0,fold1,fold2,fold3,fold4
PROTEINS,GATConv,GraphCrossGNN,64,5,0.71696,0.04808,0.002311,0.68161,0.72646,0.77130,0.76126,0.64414
PROTEINS,GATConv,GraphResGNN,64,5,0.71062,0.03513,0.001234,0.72197,0.74439,0.74439,0.68919,0.65315
PROTEINS,GATConv,NodeCrossGNN,64,5,0.69630,0.03029,0.000917,0.65471,0.72197,0.73094,0.70721,0.66667
PROTEINS,GATConv,NodeResGNN,64,5,0.71429,0.02728,0.000744,0.67265,0.72197,0.74439,0.73874,0.69369
PROTEINS,GATConv,PlainGNN,64,5,0.71158,0.03259,0.001062,0.65919,0.73991,0.74439,0.72523,0.68919
PROTEINS,GCNConv,APPNPBaseline,32,5,0.59582,0.04043,0.001635,0.56757,0.62613,0.58108,0.65766,0.54667
PROTEINS,GCNConv,GraphCondGNN,32,5,0.67747,0.02636,0.000695,0.63514,0.67568,0.68919,0.71622,0.67111
PROTEINS,GCNConv,GraphCrossGNN,32,5,0.69109,0.04303,0.001852,0.65315,0.74775,0.72072,0.70270,0.63111
PROTEINS,GCNConv,GraphCrossGNN,64,5,0.68098,0.04619,0.002134,0.67265,0.71749,0.71749,0.70270,0.59459
PROTEINS,GCNConv,GraphResGNN,32,5,0.71880,0.03680,0.001354,0.68468,0.73874,0.68018,0.77928,0.71111
PROTEINS,GCNConv,GraphResGNN,64,5,0.72232,0.03673,0.001349,0.72646,0.76233,0.73094,0.73874,0.65315
PROTEINS,GCNConv,JKNetBaseline,32,5,0.69273,0.04054,0.001643,0.64414,0.74324,0.65315,0.73423,0.68889
PROTEINS,GCNConv,NodeCrossGNN,32,5,0.66938,0.02899,0.000841,0.64865,0.70270,0.63063,0.70270,0.66222
PROTEINS,GCNConv,NodeCrossGNN,64,5,0.69359,0.04484,0.002011,0.66368,0.69955,0.75336,0.72523,0.62613
PROTEINS,GCNConv,NodeResGNN,32,5,0.68025,0.04238,0.001796,0.62162,0.69369,0.71622,0.72973,0.64000
PROTEINS,GCNConv,NodeResGNN,64,5,0.69446,0.05086,0.002587,0.68610,0.72197,0.73991,0.72523,0.59910
PROTEINS,GCNConv,PlainGNN,32,5,0.69735,0.03894,0.001516,0.65315,0.73874,0.71171,0.73423,0.64889
PROTEINS,GCNConv,PlainGNN,64,5,0.70527,0.02705,0.000732,0.68161,0.73094,0.73543,0.71171,0.66667
PROTEINS,GINConv,GINBaseline,32,5,0.67474,0.04879,0.002381,0.65766,0.62613,0.64414,0.76577,0.68000
PROTEINS,GINConv,GraphCrossGNN,64,5,0.70620,0.03838,0.001473,0.64574,0.73991,0.73543,0.73423,0.67568
PROTEINS,GINConv,GraphResGNN,64,5,0.70531,0.04914,0.002415,0.64574,0.74439,0.71300,0.77027,0.65315
